,userid,timestamp,Tiredness,Calm,Nutrition,Hydration,Performance,Concentrate,Happy,Determined,Excited,Loving,Motivated,Powerful,Helpful,Lively,Peaceful,Proud,Optimistic,Valued,Content,Hopeful,Confident,Relieved,Annoyed,Nervous,Overwhelmed,Irritated,Anxious,Afraid,Angry,Worried,Bored,Lonely,Weary,Disappointed,Confused,Embarrassed,Sad
0,00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-03-27T17:17:50.878Z,50.0,50.0,50.0,50.0,100.0,62.60266900062561,50.27105212211609,55.74690103530884,47.92320132255554,13.413269817829132,13.413269817829132,52.95385122299194,13.413269817829132,13.413269817829132,13.413269817829132,54.370296001434326,74.00000095367432,56.94408416748047,54.370296001434326,56.94408416748047,51.57552361488342,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,51.89231634140015,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132
1,00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-03-27T17:17:50.878Z,50.0,61.000001430511475,75.0,38.999998569488525,61.000001430511475,58.58055353164673,48.99799823760986,56.173908710479736,45.95009386539459,68.14589500427246,63.999998569488525,52.50431299209595,62.00000047683716,59.32263135910034,13.49484771490097,48.37591052055359,8.213964104652405,12.977658212184906,11.205518245697021,12.977658212184906,65.1206374168396,63.85924816131592,13.49484771490097,52.77090072631836,52.77090072631836,13.49484771490097,47.56040573120117,60.69611310958862,74.48267936706543,64.99999761581421,13.49484771490097,49.07451570034027,13.49484771490097,13.49484771490097,13.49484771490097,13.49484771490097,49.07451570034027
2,0JNEOMRwrvNj6u9DMztquJBnPQ63,2023-03-27T17:17:50.878Z,50.0,50.0,50.0,50.0,50.0,61.066752672195435,13.413269817829132,13.413269817829132,13.413269817829132,49.104464054107666,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,57.686758041381836,73.00000190734863,58.745622634887695,58.0538809299469,50.0,60.404908657073975,57.63294696807861,57.477355003356934,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132,13.413269817829132
3,0dFpa4IVaTYYRGZMZFTduf373b53,2023-05-29T00:50:30.000Z,36.000001430511475,50.0,47.999998927116394,36.000001430511475,43.99999976158142,33.000001311302185,13.413271307945251,13.413271307945251,30.685436725616455,38.21044862270355,33.46479535102844,13.413271307945251,13.413271307945251,34.73581671714783,13.413271307945251,13.413271307945251,30.685436725616455,13.413271307945251,13.413271307945251,13.413271307945251,13.413271307945251,13.413271307945251,48.0559766292572,53.8799524307251,62.00000047683716,13.413271307945251,56.41869306564331,13.413271307945251,58.24870467185974,54.64259386062622,13.413271307945251,32.39566683769226,13.413271307945251,13.413271307945251,13.413271307945251,13.413271307945251,51.36287808418274
4,0dFpa4IVaTYYRGZMZFTduf373b53,2023-05-30T21:02:37.395Z,62.00000047683716,52.99999713897705,51.99999809265137,18.000000715255737,57.999998331069946,51.99999809265137,57.08540081977844,13.49484920501709,36.03557348251343,46.84976041316986,40.06737470626831,60.51446795463562,13.49484920501709,41.90996587276459,13.49484920501709,13.49484920501709,61.94272041320801,65.64091444015503,57.999998331069946,13.49484920501709,13.49484920501709,66.31835103034973,8.260518312454224,10.918626189231873,10.918626189231873,13.49484920501709,38.492366671562195,13.49484920501709,49.06941056251526,35.15400588512421,13.49484920501709,38.51412534713745,13.49484920501709,13.49484920501709,13.49484920501709,13.49484920501709,9.614603221416473
5,0dFpa4IVaTYYRGZMZFTduf373b53,2023-05-31T21:05:29.224Z,81.00000023841858,37.00000047683716,34.99999940395355,28.00000011920929,67.00000166893005,66.00000262260437,18.3578759431839,14.636443555355072,34.92001295089722,46.966856718063354,39.42045569419861,20.00701129436493,14.636443555355072,41.488730907440186,14.636443555355072,14.636443555355072,41.18546545505524,22.49913215637207,20.936840772628784,14.636443555355072,14.636443555355072,22.30212688446045,44.07754838466644,55.67365884780884,50.0,14.636443555355072,62.86628842353821,14.636443555355072,59.315359592437744,58.53196978569031,14.636443555355072,37.67755627632141,14.636443555355072,14.636443555355072,14.636443555355072,14.636443555355072,50.2554714679718
6,0dFpa4IVaTYYRGZMZFTduf373b53,2023-06-04T21:35:51.937Z,91.00000262260437,40.00000059604645,70.99999785423279,7.999999821186066,64.99999761581421,60.00000238418579,22.368307411670685,3.101719915866852,27.674683928489685,41.59156084060669,33.085909485816956,23.64339679479599,3.101719915866852,35.52696704864502,3.101719915866852,3.101719915866852,41.27509295940399,24.417465925216675,24.16212558746338,3.101719915866852,3.101719915866852,23.717403411865234,16.911956667900085,24.283531308174133,24.283531308174133,3.101719915866852,28.857994079589844,3.101719915866852,28.347864747047424,26.309916377067566,3.101719915866852,31.000226736068726,3.101719915866852,3.101719915866852,3.101719915866852,3.101719915866852,20.80705314874649
7,0dFpa4IVaTYYRGZMZFTduf373b53,2023-06-04T23:04:32.354Z,62.00000047683716,28.999999165534973,57.999998331069946,31.00000023841858,60.00000238418579,62.00000047683716,43.69029998779297,53.97045612335205,62.99999952316284,31.62742257118225,50.250911712646484,46.38947248458862,3.431631624698639,52.2626519203186,3.431631624698639,51.03808641433716,36.92350089550018,11.613605916500092,11.947537958621979,57.22053050994873,46.21356427669525,10.95408946275711,49.40706491470337,55.598342418670654,62.00000047683716,3.431631624698639,65.45019149780273,3.431631624698639,59.989750385284424,60.86404323577881,3.431631624698639,21.960896253585815,3.431631624698639,3.431631624698639,3.431631624698639,3.431631624698639,52.86822319030762
8,0dFpa4IVaTYYRGZMZFTduf373b53,2023-08-27T18:04:02.727Z,69.9999988079071,30.000001192092896,40.99999964237213,18.99999976158142,34.00000035762787,31.999999284744263,14.975474774837494,12.034545838832855,7.813933491706848,10.930626094341278,12.784051895141602,16.477087140083313,8.693143725395203,15.19547551870346,8.693143725395203,10.084883868694305,19.037215411663055,15.679159760475159,15.58278501033783,14.394032955169678,7.288050651550293,14.870721101760864,56.2943160533905,59.84501838684082,75.99999904632568,8.693143725395203,66.67962074279785,8.693143725395203,59.833645820617676,62.56836652755737,8.693143725395203,1.77115797996521,8.693143725395203,8.693143725395203,8.693143725395203,8.693143725395203,58.554959297180176
9,0dFpa4IVaTYYRGZMZFTduf373b53,2023-08-27T18:04:02.727Z,68.99999976158142,37.00000047683716,38.999998569488525,28.999999165534973,63.999998569488525,37.00000047683716,58.99999737739563,24.12051260471344,51.276230812072754,18.52457821369171,55.316007137298584,13.951367139816284,11.304599046707153,26.61741077899933,65.52838087081909,23.02910089492798,47.81516790390015,15.783393383026123,53.797054290771484,25.20764470100403,20.996427536010742,15.235310792922974,63.08706998825073,60.297393798828125,57.999998331069946,11.304599046707153,60.46941876411438,11.304599046707153,67.85752177238464,57.0519745349884,11.304599046707153,14.035335183143616,11.304599046707153,11.304599046707153,11.304599046707153,52.52891778945923,57.51059055328369
10,0dFpa4IVaTYYRGZMZFTduf373b53,2023-08-27T18:09:32.936Z,79.00000214576721,20.999999344348907,28.00000011920929,40.00000059604645,46.00000083446503,43.99999976158142,17.050570249557495,12.588927149772644,35.65860986709595,56.270527839660645,38.407063484191895,15.455096960067749,12.609104812145233,33.87156426906586,22.573579847812653,50.016021728515625,28.954821825027466,15.571543574333191,21.381430327892303,12.543831765651703,46.98958992958069,61.94658279418945,63.757139444351196,68.15928220748901,62.99999952316284,52.80100703239441,72.08497524261475,62.19202280044556,71.11880779266357,68.99999976158142,12.609104812145233,54.339760541915894,60.01431941986084,54.36660051345825,54.36660051345825,13.535232841968536,63.999998569488525
11,0dFpa4IVaTYYRGZMZFTduf373b53,2023-08-27T19:02:57.742Z,68.00000071525574,27.000001072883606,60.00000238418579,36.000001430511475,79.00000214576721,50.0,46.19743227958679,53.18506360054016,54.958271980285645,42.78035759925842,50.0,51.278239488601685,12.322895228862762,59.682005643844604,30.78872561454773,19.067612290382385,32.02311396598816,14.108294248580933,15.036043524742126,17.456741631031036,49.7250497341156,23.58328402042389,55.5277943611145,62.30883598327637,68.99999976158142,12.743407487869263,61.87552809715271,18.757188320159912,58.593106269836426,60.3305459022522,12.322895228862762,40.723609924316406,17.20871329307556,13.628412783145905,13.628412783145905,27.134978771209717,58.75802040100098
12,0dFpa4IVaTYYRGZMZFTduf373b53,2023-08-27T19:19:57.842Z,62.99999952316284,62.00000047683716,40.00000059604645,33.000001311302185,50.0,50.0,15.924593806266785,23.289549350738525,38.8106495141983,69.06100511550903,42.413121461868286,16.972768306732178,11.855340003967285,46.93254232406616,11.002014577388763,18.205542862415314,27.012985944747925,13.04749846458435,13.625872135162354,16.48526042699814,18.29516440629959,16.44260585308075,50.04035234451294,59.76079702377319,57.104188203811646,55.595701932907104,54.00000214576721,68.3922290802002,65.22976160049438,54.09320592880249,11.855340003967285,48.312994837760925,28.700143098831177,26.350364089012146,26.350364089012146,12.67458200454712,29.591667652130127
13,0dFpa4IVaTYYRGZMZFTduf373b53,2023-08-29T17:28:32.831Z,66.00000262260437,34.00000035762787,57.999998331069946,50.0,55.000001192092896,60.00000238418579,12.611919641494751,19.4893017411232,41.333165764808655,42.07888841629028,46.0574209690094,15.837633609771729,11.855578422546387,51.781827211380005,18.099305033683777,16.030806303024292,31.46817684173584,12.425149977207184,12.767571210861206,17.018981277942657,17.413577437400818,13.638973236083984,44.96898353099823,59.351372718811035,50.0,20.551013946533203,58.50069522857666,26.26926600933075,58.079683780670166,55.08081316947937,11.855578422546387,40.39530158042908,13.325147330760956,13.17555457353592,13.17555457353592,17.208507657051086,49.80172514915466
14,0dFpa4IVaTYYRGZMZFTduf373b53,2023-09-05T22:27:45.510Z,79.00000214576721,37.00000047683716,40.00000059604645,38.999998569488525,50.0,50.0,13.027317821979523,16.212311387062073,32.19008445739746,67.1587347984314,35.857418179512024,13.792730867862701,12.048408389091492,40.80674648284912,15.738269686698914,15.498366951942444,26.274335384368896,12.185822427272797,12.342000007629395,16.17977023124695,16.769880056381226,13.43940645456314,39.27235305309296,69.76761817932129,54.63619828224182,47.692760825157166,58.99999737739563,55.000001192092896,58.23466777801514,68.51925849914551,12.048408389091492,35.777515172958374,18.14536452293396,17.32865273952484,17.32865273952484,16.87055230140686,21.33585810661316
15,0dFpa4IVaTYYRGZMZFTduf373b53,2023-09-05T22:27:45.510Z,56.00000023841858,50.0,50.0,37.00000047683716,50.0,50.0,14.423778653144836,14.579837024211884,29.788947105407715,43.045756220817566,34.96106266975403,14.278903603553772,12.162095308303833,39.39047157764435,16.176427900791168,15.03218412399292,24.447101354599,12.185439467430115,12.561862170696259,15.372727811336517,16.551491618156433,13.19802850484848,5.712735652923584,34.66373682022095,21.67591154575348,19.341757893562317,41.78271293640137,28.7733793258667,42.25798845291138,37.09825873374939,12.162095308303833,32.72221386432648,17.21556782722473,17.289212346076965,17.289212346076965,17.58955717086792,14.483055472373962
16,0dFpa4IVaTYYRGZMZFTduf373b53,2023-09-05T22:27:45.510Z,61.000001430511475,56.00000023841858,40.00000059604645,40.99999964237213,50.0,50.0,58.84521007537842,13.729164004325867,27.91067361831665,41.01003110408783,32.636165618896484,61.41338348388672,12.239262461662292,34.42321717739105,15.428556501865387,14.673486351966858,53.68574857711792,65.63149690628052,60.00000238418579,14.723621308803558,16.67301058769226,65.56894779205322,6.982223689556122,19.661618769168854,8.485423028469086,16.349543631076813,28.9896160364151,16.51056408882141,46.48702144622803,27.14453637599945,12.239262461662292,30.259209871292114,17.907917499542236,18.03400069475174,18.03400069475174,16.86682403087616,13.806092739105225
