User ID,Date/Time,Age,Weight,Height,Tiredness,Calm,Nutrition,Hydration,Performance,Emotion_1,Emotion_2,Emotion_3,Emotion_4,Emotion_5,Cluster,PCA1,PCA2
00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-08-27T18:04:02.727Z,32.0,70.0,184.0,50.0,50.0,50.0,50.0,50.0,0.07933657616376877,0.6034785807132721,0.2008308619260788,0.08492122404277325,0.10958174243569374,0,-49.26518096382039,-6.388875262564485
00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-08-27T19:02:57.742Z,32.0,70.0,184.0,50.0,50.0,50.0,50.0,50.0,0.0,100.0,0.0,0.0,0.0,2,38.574284425257204,-27.016961080103513
00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-08-27T19:19:57.842Z,32.0,70.0,184.0,50.0,50.0,50.0,50.0,50.0,12.5,50.0,12.5,12.5,12.5,2,-7.777492205300732,-25.049115686132616
00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-08-29T17:28:32.831Z,32.0,70.0,184.0,50.0,50.0,50.0,50.0,50.0,12.5,50.0,12.5,12.5,12.5,2,-7.777492205300732,-25.049115686132616
00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-09-05T22:27:45.510Z,32.0,70.0,184.0,50.0,50.0,50.0,50.0,50.0,12.5,50.0,12.5,12.5,12.5,2,-7.777492205300732,-25.049115686132616
0JNEOMRwrvNj6u9DMztquJBnPQ63,2023-07-14T22:07:23.137Z,20.0,57.0,153.0,100.0,19.0,50.0,24.0,7.0,0.0,0.0,0.0,0.0,100.0,0,-84.73230508050017,-16.060134499005343
0dFpa4IVaTYYRGZMZFTduf373b53,2023-04-04T14:11:13.000Z,17.0,128.0,191.0,50.0,75.0,80.0,70.0,50.0,63.0,62.857142857142854,12.0,35.0,26.714285714285715,2,18.22000567760537,-55.73662282308756
0dFpa4IVaTYYRGZMZFTduf373b53,2023-04-05T10:17:46.000Z,17.0,128.0,191.0,24.0,20.0,60.0,70.0,71.0,29.5,56.0,46.2,0.0,90.66666666666667,2,-7.1789417365471735,-92.18432220549663
0dFpa4IVaTYYRGZMZFTduf373b53,2023-04-05T11:47:04.000Z,17.0,128.0,191.0,50.0,50.0,71.0,67.0,78.0,0.07529784739017487,0.5620232820510864,0.15755987167358398,0.15026195347309113,0.11343881487846375,0,-40.40731314107741,-24.84562636768757
0dFpa4IVaTYYRGZMZFTduf373b53,2023-04-06T11:50:28.000Z,17.0,128.0,191.0,70.0,72.0,65.0,25.0,50.0,0.2390061914920807,0.6316563487052917,0.09640952944755554,0.21887418627738953,0.13410010933876038,0,-50.741191754304126,-17.022429357363027
0dFpa4IVaTYYRGZMZFTduf373b53,2023-04-06T21:09:09.000Z,17.0,128.0,191.0,21.0,23.0,50.0,35.0,58.0,0.11919699609279633,0.5676829814910889,0.2538253962993622,0.12154053151607513,0.16577714681625366,0,-56.48353515376809,-52.9865782071871
0dFpa4IVaTYYRGZMZFTduf373b53,2023-04-07T09:29:18.000Z,17.0,128.0,191.0,75.0,30.0,100.0,36.0,50.0,0.11399152129888535,0.40550920367240906,0.3392505943775177,0.2892897427082062,0.31159070134162903,0,-54.92981938672011,-20.83467570094927
